stop_id,stop_name,route_id,trip_id,direction_id,headsign,scheduled_time,prediction_time,final_time,eta_minutes,eta_source,status,delay_minutes
"1816","Brookline St @ Green St","47","71467617","0","","","2025-12-03T21:54:35-05:00","2025-12-04T02:54:35.000Z","4","prediction","on_time",""
"1816","Brookline St @ Green St","47","71467658","0","","","2025-12-03T22:36:21-05:00","2025-12-04T03:36:21.000Z","46","prediction","on_time",""
"1816","Brookline St @ Green St","47","71467661","0","","","2025-12-03T23:23:31-05:00","2025-12-04T04:23:31.000Z","93","prediction","on_time",""
"1056","River St @ Fairmont St","70","71696200","1","","","2025-12-03T22:02:02-05:00","2025-12-04T03:02:02.000Z","12","prediction","on_time",""
"1056","River St @ Fairmont St","64","71694337","1","","","2025-12-03T22:17:00-05:00","2025-12-04T03:17:00.000Z","27","prediction","on_time",""
"1056","River St @ Fairmont St","70","71696093","1","","","2025-12-03T22:34:18-05:00","2025-12-04T03:34:18.000Z","44","prediction","on_time",""
"1056","River St @ Fairmont St","70","71696113","1","","","2025-12-03T23:04:54-05:00","2025-12-04T04:04:54.000Z","75","prediction","on_time",""
"70144","Boston University Central","Green-B","71194010","1","","","2025-12-03T21:55:57-05:00","2025-12-04T02:55:57.000Z","6","prediction","on_time",""
"70144","Boston University Central","Green-B","ADDED-1583330130","1","","","2025-12-03T22:04:43-05:00","2025-12-04T03:04:43.000Z","14","prediction","on_time",""
"70144","Boston University Central","Green-B","71193961","1","","","2025-12-03T22:11:24-05:00","2025-12-04T03:11:24.000Z","21","prediction","on_time",""
"962","Brighton Ave @ Linden St","57","71467964","0","","","2025-12-03T21:52:50-05:00","2025-12-04T02:52:50.000Z","3","prediction","on_time",""
"962","Brighton Ave @ Linden St","57","71467965","0","","","2025-12-03T22:12:37-05:00","2025-12-04T03:12:37.000Z","22","prediction","on_time",""
"962","Brighton Ave @ Linden St","57","71467960","0","","","2025-12-03T22:18:22-05:00","2025-12-04T03:18:22.000Z","28","prediction","on_time",""
