"stop_id","stop_name","stop_lat","stop_lon"
"70207","Science Park/West End",42.366664,-71.067666
"70159","Boylston",42.353214,-71.064545
"70102","Quincy Center",42.251809,-71.005409
"70233","Dean Road",42.337807,-71.141753
"70155","Copley",42.350126,-71.077376
"70096","JFK/UMass",42.320434,-71.052215
"70144","Boston University Central",42.350013,-71.106902
"70268","Milton",42.270308,-71.067289
"70218","Saint Paul Street",42.343118,-71.117498
"70242","Symphony",42.342687,-71.085056
"70090","Fields Corner",42.299935,-71.061945
"70129","Griggs Street",42.348919,-71.134305
"70025","Haymarket",42.363021,-71.05829
"70112","Chestnut Hill Avenue",42.33873,-71.152526
"70176","Beaconsfield",42.335625,-71.140112
"70078","Downtown Crossing",42.355518,-71.060225
"70150","Kenmore",42.348949,-71.095169
"70202","Government Center",42.359705,-71.059215
"70038","Bowdoin",42.361365,-71.062037
"70235","Englewood Avenue",42.336964,-71.145867
"70160","Riverside",42.337317,-71.252256
"70276","Mattapan",42.267559,-71.092233
"70162","Woodland",42.332703,-71.243055
"70030","Sullivan Square",42.383975,-71.076994
"70243","Northeastern University",42.339897,-71.09021
"70275","Mattapan",42.267625,-71.092389
"70196","Park Street",42.356395,-71.062424
"70087","Savin Hill",42.310603,-71.053678
"70272","Valley Road",42.268347,-71.081343
"70511","Medford/Tufts",42.408306,-71.11728
"70164","Waban",42.325695,-71.230476
"170140","Amory Street",42.350901,-71.114318
"70050","Wood Island",42.379671,-71.022783
"70175","Reservoir",42.335163,-71.148601
"70028","Community College",42.373622,-71.069533
"70019","Chinatown",42.352547,-71.062752
"70149","Blandford Street",42.349276,-71.100213
"70053","Suffolk Downs",42.390422,-70.997323
"70105","Braintree",42.207424,-71.001645
"70111","South Street",42.339581,-71.157499
"70236","Englewood Avenue",42.337011,-71.145368
"70153","Hynes Convention Center",42.347888,-71.087903
"70007","Jackson Square",42.323132,-71.099592
"70043","Aquarium",42.359784,-71.051652
"70070","Central",42.365379,-71.103554
"70058","Revere Beach",42.407874,-70.992497
"70270","Central Avenue",42.270001,-71.073358
"70163","Woodland",42.333094,-71.243659
"70098","North Quincy",42.275802,-71.030144
"70002","Green Street",42.309832,-71.108059
"70055","Beachmont",42.397219,-70.992647
"70261","Ashmont",42.283768,-71.063191
"70009","Roxbury Crossing",42.33064,-71.09604
"70258","Back of the Hill",42.329399,-71.110931
"70107","Boston College",42.34024,-71.166849
"70099","Wollaston",42.266762,-71.020542
"170137","Babcock Street",42.351695,-71.120257
"70838","Bowdoin",42.361365,-71.062037
"70205","North Station",42.36528,-71.060205
"70045","Maverick",42.369119,-71.03953
"70029","Community College",42.373622,-71.069533
